
ticker,sector
NVDA,Information Technology
AAPL,Information Technology
MSFT,Information Technology
AMZN,Consumer Discretionary
GOOGL,Communication Services
AVGO,Information Technology
GOOG,Communication Services
META,Communication Services
TSLA,Consumer Discretionary
BRK-B,Financials
WMT,Consumer Staples
LLY,Health Care
JPM,Financials
V,Financials
ORCL,Information Technology
MA,Financials
JNJ,Health Care
XOM,Energy
PLTR,Information Technology
NFLX,Communication Services
BAC,Financials
ABBV,Health Care
COST,Consumer Staples
AMD,Information Technology
HD,Consumer Discretionary
PG,Consumer Staples
CSCO,Information Technology
UNH,Health Care
GE,Industrials
CVX,Energy
KO,Consumer Staples
CAT,Industrials
WFC,Financials
IBM,Information Technology
MU,Information Technology
MS,Financials
GS,Financials
AXP,Financials
MRK,Health Care
CRM,Information Technology
APP,Information Technology
RTX,Industrials
PM,Consumer Staples
MCD,Consumer Discretionary
TMUS,Communication Services
AMAT,Information Technology
ABT,Health Care
TMO,Health Care
LRCX,Information Technology
PEP,Consumer Staples
C,Financials
DIS,Communication Services
ISRG,Health Care
QCOM,Information Technology
GEV,Industrials
LIN,Materials
INTU,Information Technology
INTC,Information Technology
NOW,Information Technology
UBER,Industrials
SCHW,Financials
T,Communication Services
TJX,Consumer Discretionary
AMGN,Health Care
BLK,Financials
BKNG,Consumer Discretionary
APH,Information Technology
VZ,Communication Services
NEE,Utilities
ANET,Information Technology
ACN,Information Technology
TXN,Information Technology
KLAC,Information Technology
DHR,Health Care
GILD,Health Care
BA,Industrials
COF,Financials
SPGI,Financials
PFE,Health Care
ADBE,Information Technology
UNP,Industrials
LOW,Consumer Discretionary
ADI,Information Technology
ETN,Industrials
BSX,Health Care
SYK,Health Care
PGR,Financials
PANW,Information Technology
CRWD,Information Technology
DE,Industrials
MDT,Health Care
KKR,Financials
WELL,Real Estate
HON,Industrials
PLD,Real Estate
CB,Financials
COP,Energy
BX,Financials
CEG,Utilities
VRTX,Health Care
PH,Industrials
HOOD,Financials
HCA,Health Care
LMT,Industrials
NEM,Materials
ADP,Industrials
BMY,Health Care
CVS,Health Care
CMCSA,Communication Services
NKE,Consumer Discretionary
MCK,Health Care
MO,Consumer Staples
CME,Financials
DASH,Consumer Discretionary
SBUX,Consumer Discretionary
SO,Utilities
ICE,Financials
DELL,Information Technology
GD,Industrials
CDNS,Information Technology
SNPS,Information Technology
MMM,Industrials
TT,Industrials
MMC,Financials
DUK,Utilities
APO,Financials
MCO,Financials
AMT,Real Estate
WM,Industrials
UPS,Industrials
USB,Financials
GLW,Information Technology
BK,Financials
PNC,Financials
SHW,Materials
NOC,Industrials
ORLY,Consumer Discretionary
MAR,Consumer Discretionary
EMR,Industrials
ELV,Health Care
HWM,Industrials
REGN,Health Care
ABNB,Consumer Discretionary
RCL,Consumer Discretionary
CTAS,Industrials
GM,Consumer Discretionary
WBD,Communication Services
AON,Financials
ITW,Industrials
WMB,Energy
ECL,Materials
EQIX,Real Estate
TDG,Industrials
COIN,Financials
TEL,Information Technology
CMI,Industrials
CI,Health Care
JCI,Industrials
MNST,Consumer Staples
PWR,Industrials
CSX,Industrials
MDLZ,Consumer Staples
FCX,Materials
FDX,Industrials
COR,Health Care
STX,Information Technology
NSC,Industrials
RSG,Industrials
HLT,Consumer Discretionary
ADSK,Information Technology
WDC,Information Technology
AJG,Financials
TFC,Financials
TRV,Financials
CL,Consumer Staples
MSI,Information Technology
FTNT,Information Technology
AEP,Utilities
SLB,Energy
PCAR,Industrials
KMI,Energy
ROST,Consumer Discretionary
EOG,Energy
WDAY,Information Technology
SPG,Real Estate
VST,Utilities
NXPI,Information Technology
PSX,Energy
SRE,Utilities
PYPL,Financials
AZO,Consumer Discretionary
AFL,Financials
BDX,Health Care
IDXX,Health Care
MPC,Energy
LHX,Industrials
F,Consumer Discretionary
ALL,Financials
APD,Materials
DLR,Real Estate
